"screen_name","retweet_screen_name"
"sootophia","CGV_ID"
"ssmyggv","CGV_ID"
"HIO97JK",NA
"KyualaBIue",NA
"KyualaBIue",NA
"oceanyeuci","CGV_ID"
"jeonjekeiy",NA
"jeonjekeiy",NA
"jeonjekeiy",NA
"rockstarstae","CGV_ID"
"Vthehugfairy","BTStranslation_"
"Vthehugfairy","CyaluvOT7"
"estaemaniz","CBIpictures"
"estaemaniz","CGV_ID"
"skitpt7",NA
"abcdefvoo",NA
"Cellainax","mcyxjm"
"laesposadeLoki","BTStranslation_"
"yuucards","vallerylia"
"boraoceanph",NA
"dobbyliciousy",NA
"jungtaeraa",NA
"nqmkcck",NA
"taedalkom","CGV_ID"
"kthcyjun_","mcyxjm"
"sugakeren",NA
"sugakeren",NA
"kimaruka_",NA
"fiItervmins","BTStranslation_"
"Jora283","CBIpictures"
"Jk_mytimeee",NA
"taevkrsna","vallerylia"
"lauren_sis",NA
"taeobroma","CGV_ID"
"Jjknumber1","CBIpictures"
"pcarablenyajk",NA
"yeontann_v","7btsupdates"
"loubieeskoo",NA
"rsisepm",NA
"jiminiewiphe","CBIpictures"
"yuliafatfa_","CBIpictures"
"cuttietaeyong_","vallerylia"
"VXSAZEIN","CBIpictures"
"vk_bts_7","BTS_twt"
"chokooblue",NA
"chokooblue",NA
"taechancute","CBIpictures"
"penny_febrianti","CGV_ID"
"taedyflowery",NA
"kimtaenaj","CBIpictures"
"0T7_2013","BTStranslation_"
"jeonjungk_ok","CBIpictures"
"tsunderejinnie","CGV_ID"
"mochiiicaca","mcyxjm"
"mcyxjm",NA
"korncheese_89",NA
"rvangoperasi",NA
"justyoongiii","CGV_ID"
"san_warmindo",NA
"bbearcart","sabcollectz"
"vhopeeland","CGV_ID"
"keep_strong10","BTStranslation_"
"nvdglno",NA
"CherryCuwie","CBIpictures"
"kthbuys",NA
"kimchii_2eet",NA
"cherrygi_",NA
"luvlyalien",NA
"kookoophi",NA
"purpleskymimi","CBIpictures"
"dedekniki","vallerylia"
"HanaJungha7","CBIpictures"
"HanaJungha7","CGV_ID"
"flwrkimtae",NA
"flwrkimtae",NA
"behbehtoh7012",NA
"M_JawaTimurCom",NA
"HuriaKimV","BTStranslation_"
"bunnieskoou","CBIpictures"
"soft_babyBunny",NA
"soft_babyBunny",NA
"kth_Vlynn","CGV_ID"
"Aini14807991",NA
"mochiminn_13",NA
"majnvy",NA
"elmariachimm","CGV_ID"
"mayadwii","CGV_ID"
"kimgukkies","CGV_ID"
"jjvorezzy",NA
"Husna0721","CGV_ID"
"capricofrn","CBIpictures"
"putrigum1","chizikook_"
"Masy6596","CGV_ID"
"sweetaepea","BTStranslation_"
"i1365244_",NA
"kkyumicart",NA
"gguksiast",NA
"gguksiast",NA
"mnyygi",NA
"Taehopeee_",NA
"ourkookoo",NA
"raarawwrr",NA
"deniadea",NA
"summeertha","vallerylia"
"rraxkth","CGV_ID"
"vvantaaa",NA
"fancythv_",NA
"Bts7_1398","CGV_ID"
"dompetbangpdnim","CGV_ID"
"siscenery",NA
"Betakookmin","Univers_Bangtan"
"NhiiNoonaa","chizikook_"
"Amalyaa_V",NA
"hoanginjun",NA
"__lesourire","CGV_ID"
"__lesourire","CBIpictures"
"sourcandwy","CBIpictures"
"Taeaeee","CGV_ID"
"breanley",NA
"ggukkieyoon",NA
"dearbtstwt",NA
"jaypjs02",NA
"Peupeu_twt","CGV_ID"
"shretaee","BTStranslation_"
"vaejekey",NA
"AegyoK_FindsPH",NA
"roseoulmount",NA
"knjglxy","CGV_ID"
"taelvlz_","laviedenoona"
"purpleubts_army","Univers_Bangtan"
"caseokmin",NA
"caseokmin",NA
"snoopyhobie","BTStranslation_"
"mymondly",NA
"mymondly",NA
"kthjeonggukk","CGV_ID"
"korean_shine",NA
"winterbearkim_",NA
"winterbearkim_",NA
"itssofakelove","7btsupdates"
"gothicyuno","monitmiloow"
"nikollects","jimisells"
"aelazxa","CBIpictures"
"ShuchiPatt","CGV_ID"
"diahyislam","kompascom"
"sitisofiah613","CBIpictures"
"ggukwashere","CGV_ID"
"dionysusjean",NA
"ggukcaines","CGV_ID"
"cornelethic","CBIpictures"
"cornelethic","CGV_ID"
"prncskrnn",NA
"jjwanjyope","JEONBAM_JK"
"kompascom",NA
"webminie_","BTStranslation_"
"abllsputri_","CBIpictures"
"abllsputri_","CGV_ID"
"_butterproof","mylvhb"
"Iamkerrberr","BTStranslation_"
"kookslate_","CGV_ID"
"pacarbighit",NA
"MKTHJK","CBIpictures"
"agustdpromise","BTStranslation_"
"AulyaSalsabil16",NA
"AulyaSalsabil16",NA
"93MYGII",NA
"purplezu1",NA
"siraah14","CBIpictures"
"siraah14","CGV_ID"
"ANGEL_KTH1",NA
"sunghoonyst","vallerylia"
"kimber1316",NA
"Strawbbypie",NA
"btsupp","CGV_ID"
"Jveelovs","CGV_ID"
"heyaluvv","BTStranslation_"
"monitmiloow",NA
"loveelyzss","BTStranslation_"
"fxrdaa",NA
"biaaamartiins","Univers_Bangtan"
"elgasstikaa",NA
"Aam_Els",NA
"sagurubby","CBIpictures"
"aestarchvv","CGV_ID"
"dionysuzz",NA
"eunyoonease","CGV_ID"
"flowerjekey","CGV_ID"
"hai_dev7",NA
"ExpelliArmyy","rahmdess27"
"dimplekooo","BTSNewsBrasil"
"vvinterbear01","BTStranslation_"
"Ncilliaiu","CGV_ID"
"taehqy",NA
"jeyhoppb","BtsarmyPeduli"
"jjkluvie_","CGV_ID"
"notteok",NA
"ovrjoon","BTStranslation_"
"borahaecart","borahaecart"
"dindkm","CGV_ID"
"purpletanie7","CBIpictures"
"_sitisofiah_","CBIpictures"
"xandokkaa","BTSNewsBrasil"
"drsyub","BTStranslation_"
"lovemyevrythng","CGV_ID"
"Joy_Jungg","itsjjknunaa"
"jimisells",NA
"punyasindy_","CGV_ID"
"armyapple7","BTStranslation_"
"nkoogie",NA
"ruthlimbong","CGV_ID"
"hafsahdw","CGV_ID"
"rahmdess27",NA
"Ggukshrimp","CBIpictures"
"Ggukshrimp","CGV_ID"
"rkivednaa","CBIpictures"
"bearyytae",NA
"yoonkia38","CGV_ID"
"jinniesteacher",NA
"Vbora136","BTStranslation_"
"Kristine_jung18","CBIpictures"
"Kristine_jung18","BTStranslation_"
"Kristine_jung18","CGV_ID"
"rosie_bts7","BTStranslation_"
"taekooyakki",NA
"rawrdrx","CGV_ID"
"RaRoseana",NA
"tarabuble","CGV_ID"
"Dasuh95","vallerylia"
"Dasuh95","vallerylia"
"txhyngkimmm","CBIpictures"
"MeowUgi01","CBIpictures"
"joonjks","CGV_ID"
"kimsbangs",NA
"btsswifeuu","CGV_ID"
"kim_kookiekoya","BTStranslation_"
"sugashiie",NA
"JEZEHARU",NA
"thslxk",NA
"Cindyogita","CGV_ID"
"adriantifirda",NA
"adriantifirda","laviedenoona"
"BTS_twtfashion",NA
"jesseokjinn_","CGV_ID"
"vantetatae","CGV_ID"
"louissweettt","Univers_Bangtan"
"namjoondita","CGV_ID"
"namjoondita","CBIpictures"
"joonpiterr",NA
"nonasendja",NA
"J_inspiredbyBTS","BTStranslation_"
"solovelymoon","Univers_Bangtan"
"therapyphany",NA
"poutyjini","rahmdess27"
"yoonqixgloss",NA
"vanteclaus","CGV_ID"
"vvvv_3012","CGV_ID"
"vvvv_3012","CBIpictures"
"cyalienj","CBIpictures"
"rizarisarija",NA
