"screen_name","reply_to_screen_name"
"_butterproof",NA
"Iamkerrberr",NA
"kookslate_",NA
"pacarbighit",NA
"MKTHJK",NA
"agustdpromise",NA
"AulyaSalsabil16","BTS_twt"
"AulyaSalsabil16","BTS_twt"
"93MYGII",NA
"purplezu1","BTS_twt"
"siraah14",NA
"siraah14",NA
"ANGEL_KTH1","BTS_twt"
"sunghoonyst",NA
"kimber1316",NA
"Strawbbypie","BTS_twt"
"btsupp",NA
"Jveelovs",NA
"heyaluvv",NA
"monitmiloow",NA
"loveelyzss",NA
"fxrdaa","BTS_twt"
"biaaamartiins",NA
"elgasstikaa","BTS_twt"
"Aam_Els","yourtwinklel"
"sagurubby",NA
"aestarchvv",NA
"dionysuzz",NA
"eunyoonease",NA
"flowerjekey",NA
"hai_dev7","BTS_twt"
"ExpelliArmyy",NA
"dimplekooo",NA
"vvinterbear01",NA
"Ncilliaiu",NA
"taehqy","littleejung"
"jeyhoppb",NA
"jjkluvie_",NA
"notteok","luvviabts"
"ovrjoon",NA
"borahaecart",NA
"dindkm",NA
"purpletanie7",NA
"_sitisofiah_",NA
"xandokkaa",NA
"drsyub",NA
"lovemyevrythng",NA
"Joy_Jungg",NA
"jimisells",NA
"punyasindy_",NA
"armyapple7",NA
"nkoogie","BTS_PERSONA"
"ruthlimbong",NA
"hafsahdw",NA
"rahmdess27","laviedenoona"
"Ggukshrimp",NA
"Ggukshrimp",NA
"rkivednaa",NA
"bearyytae","BTS_twt"
"yoonkia38",NA
"jinniesteacher","mylvhb"
"Vbora136",NA
"Kristine_jung18",NA
"Kristine_jung18",NA
"Kristine_jung18",NA
"rosie_bts7",NA
"taekooyakki","BTS_twt"
"rawrdrx",NA
"RaRoseana",NA
"tarabuble",NA
"Dasuh95",NA
"Dasuh95",NA
"txhyngkimmm",NA
"MeowUgi01",NA
"joonjks",NA
"kimsbangs","BTS_twt"
"btsswifeuu",NA
"kim_kookiekoya",NA
"sugashiie","BTS_twt"
"JEZEHARU","BTS_twt"
"thslxk","BTS_twt"
"Cindyogita",NA
"adriantifirda","laviedenoona"
"adriantifirda",NA
"BTS_twtfashion","BTS_twtfashion"
"jesseokjinn_",NA
"vantetatae",NA
"louissweettt",NA
"namjoondita",NA
"namjoondita",NA
"joonpiterr","fluffichim"
"nonasendja",NA
"J_inspiredbyBTS",NA
"solovelymoon",NA
"therapyphany",NA
"poutyjini",NA
"yoonqixgloss","BTS_PERSONA"
"vanteclaus",NA
"vvvv_3012",NA
"vvvv_3012",NA
"cyalienj",NA
"rizarisarija","ar_fazh"
"7prince_fiyaa",NA
"7prince_fiyaa",NA
"kimjeonjkv22_","BTS_twt"
"pkjmbia",NA
"xpensivehobi","snugglekoo"
"jjimimtot","BTS_twt"
"taegyurlove",NA
"pjcimin",NA
"pjcimin","laviedenoona"
"belife_goes","BTS_twt"
"KsDiana92",NA
"95KVKIM","BTS_twt"
"jinnamuxta2",NA
"bananasyaaa",NA
"netsskth",NA
"cimoya_","littleejung"
"grizz_boo",NA
"vvantesgguk","BTS_twt"
"vntataae",NA
"tigabelasjunii",NA
"joyjojyoo","BTS_twt"
"jiminiegf13","bts_bighit"
"bluesyzz",NA
"WinterNnax",NA
"Vantelattee",NA
"Taegoogie071","snugglekoo"
"RedTata99",NA
"fateme_bts_2001",NA
"hoonfavvs","BTS_twt"
"Swantaee",NA
"Jaehvkook",NA
"Jeonkhaa97",NA
"myngi309","BTS_twt"
"MYGIEZZ",NA
"switbbiy","BTS_twt"
"thyrsusjoon_",NA
"fluffichim",NA
"pIwumiest",NA
