screen_name,mentions_screen_name
flutterkoo,CGV_ID
BTSevenlegends,CGV_ID
chimin710,ARLENEVilla9
chimin710,BTS_twt
LMKJNS,vallerylia
fuckGrammYutube,CGV_ID
fuckGrammYutube,CBIpictures
furtari,fourleris
furtari,jxhyuno
furtari,spuearb
furtari,jxhyuno
furtari,jxhyuno
furtari,seventeenhapen
furtari,jxhyuno
furtari,27milyar
furtari,jxhyuno
furtari,kaqnae
furtari,jxhyuno
zehaspirit,INDOMYGOLD
tegikuks,BTS_twt
tegikuks,tcaekook
tegikuks,BTS_twt
tegikuks,tcaekook
tegikuks,BTS_twt
tegikuks,BTS_twt
tegikuks,BTS_twt
tegikuks,tcaekook
tegikuks,BTS_twt
tegikuks,BTS_twt
jeonborahae7,CGV_ID
jaywonprk,jngsngcartz
daridafarida,adorkablejoon
daridafarida,BTS_twt
daridafarida,chizikook_
jeon7JK7,Univers_Bangtan
jeon7JK7,BTS_twt
StanOffBTS,Univers_Bangtan
StanOffBTS,BTS_twt
jkkprada,Univers_Bangtan
jkkprada,BTS_twt
anarrgguk,7btsupdates
hestiacartz_,everytaehng
hayykiiiii,vallerylia
viased_,CGV_ID
pluffyck,CBIpictures
kvzcine,BTS_twt
kvzcine,_lycutie
kiki_priscilia,CGV_ID
Minn_Taegi,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,thygjkk
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
staeberriyy,BTS_twt
littlebeartae95,laviedenoona
imoeth02,mcyxjm
imoeth02,BTS_twt
imoeth02,_peuupeuuu
imoeth02,BTS_twt
imoeth02,_peuupeuuu
imoeth02,BTS_twt
Iovinbangtan,BTStranslation_
peachofmin,BTStranslation_
95Lkimtae,BTS_twt
Nayaaaa_i,CBIpictures
Nayaaaa_i,CGV_ID
milkbubble_tae,CBIpictures
Marshuman_,BTS_twt
imliiharu,NA
carolinecindyy,IndomyLetsVote
carolinecindyy,BTS_twt
carolinecindyy,IndomyLetsVote
Pinkookieee,CBIpictures
hiIamjimin,CGV_ID
potataapew__,CGV_ID
potataapew__,ZER0XBLACK
potataapew__,BTS_twt
yayain970,CGV_ID
guiltygi,Univers_Bangtan
guiltygi,BTS_twt
vntaekv_,BTS_twt
min_raaa,BTS_twt
jkdesmn,BTS_twt
jkdesmn,BTS_twt
jkdesmn,BTS_twt
jkdesmn,BTS_twt
jkdesmn,BTS_twt
nskyhjtjcart09,jscartPH
Chimkyta113,heysulbee
Chimkyta113,BTS_twt
Chimkyta113,BTS_twt
Chimkyta113,laviedenoona
Amiiee0818,CGV_ID
ShofwaKharisma,laviedenoona
Seokjinnies06,bel_moranb
Seokjinnies06,JinTrendsOFC
Seokjinnies06,BTS_twt
Seokjinnies06,BTS_twt
jscartPH,jscartPH
gfkatehaaa_,Curhatansuka
gfkatehaaa_,BTS_twt
gfkatehaaa_,littleejung
gfkatehaaa_,BTS_twt
DanaDia86573864,BTStranslation_
myselai,laviedenoona
everytaehng,NA
btskie_lucky7,CBIpictures
TasyaSiagian1,laviedenoona
TasyaSiagian1,CGV_ID
TasyaSiagian1,laviedenoona
TasyaSiagian1,BTS_twt
CindyCyne,laviedenoona
sb_ilna,CBIpictures
sb_ilna,CGV_ID
KashmiOT7,BTS_twt
KashmiOT7,BTS_twt
BTS_is_oxiJIN22,BTS_twt
3Kimkook,BTS_twt
3Kimkook,BTS_twt
disneytisa,CGV_ID
disneytisa,bts_bighit
disneytisa,BTS_twt
disneytisa,CGV_ID
disneytisa,bts_bighit
disneytisa,ursweettae
kapkivoc,BTStranslation_
jeyhopemyangel,CBIpictures
jeyhopemyangel,CGV_ID
jiminiebubb,BTS_twt
dejicart,NA
AlRasac,special1004
AlRasac,shfly3424
prodsugadearest,CyaluvOT7
